序号,标题,原始链接,真实链接
51,以志愿 致青春丨北京师范大学第25届研究生支教团中期工作总结,http://www.baidu.com/link?url=c8d4lXTIWAB1Um6Bg8U6wIK23pLGu-22PJSWP5QG-u-qWXQU-lHfuqdqtl5EhyZ5MPa2W-UA8aXP_f0RJIyP-fwcLe4DS0Cd9WzodyThLGirq5PpxjTlCJJ644KPDahkkAn52nuO-GDWpgAzYUGIoWw1Jrs5E3W1RF1mSbpCmx7WiRYNetB3dBtFrkN47L-9YNNWIJSZZyqnzvMksAEjO89kt8SGFTpWCpWG360pu_L8NhNkXtn7aTOqo-zETAo9HjBfr_HcoGUQU8zNxXr1sa,https://mp.weixin.qq.com/s?__biz=MjM5OTEzMjMxMQ==&mid=2657948852&idx=5&sn=8d3f9696ced9902a946e2dc1793afdeb&chksm=bc926271c0d3dbf97b4763b8048e3bee2094920ebe939f6178141960e03aee870f6e8b6ddd2f&scene=27
52,...市鄱阳县油墩街镇西湖小学开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwslbJLLDarNy3PiCySnhy_MK,https://fe.bnu.edu.cn/html/1/news/20241009/n8318.html
53,...熹育队赴江西省修水县大桥镇开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwsqAFj2GZrniUsj8N4yZKDUK,https://fe.bnu.edu.cn/html/1/news/20241009/n8315.html
54,2024年暑假北京师范大学赴河北盐山中学支教活动圆满收官,http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZX-t6I-6MpU0N5jOUEGVOFUKHLl2AMr2_C_FXH1SBsNaGhELwOJLvBY6xQsUw5doDk-t7ZSLKOK1nNp7MMXOdS_,https://baijiahao.baidu.com/s?id=1804807149688008933&wfr=spider&for=pc
55,"专访| 研究生支教团:代代相传,传递梦想与爱",http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX95hntU2pdGIcOpBjI6C5E4hdz-QP1ZInZuV4YS3yi6oCbl-zLzAOwsQ_A9bXGoY83E0M1bNF8D1Xq47F82ut4Ia1ZVjMZiYjJDNoW9jb980m_rS-0f99Fb28RTfEcNJDWDLdjaoNGoMD7TKjhAjXB0_bOoVjlKNHZO4nrESL205Yf2pjKBoKHyTRzrJ5UOJPeeVc7dezo0sgZe6ATEdgjxeEL1muCRd-iERp3zK2Dq4Kq,https://mp.weixin.qq.com/s?__biz=MjM5NDA3NDEwMQ==&mid=2652522241&idx=1&sn=8c0b97e0199cce46aae61ed9454de472&chksm=bd63bb9b8a14328d87650de15343bd52500da6da0e53160c9213c29dba0d24864bd46a35038b&scene=27
56,"青春有为,强师有我!北师大“电影下乡”暑期美育支教团深入中西部...",http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX967W52IqU401pgi4z6z64LVF_wbFVdF2HM66ncgYKdewXbJPypvbtIE9efwtob4Y54nSMikZDZDRfh2iymWKFR5TRWNA81ppVpsb-m8gTFXNJHvR19FtQh8-WeS-zpdKAk26HX-Fl3PbJ2AWrAbekEXHQULnMYsYYaPYI4z7qtxvrYmd7T7tm8jIgTSeC-85EvFtqEr50Y9h3O4jWSKyk80pD9xwtEcCoT4G5v05uuVCq,https://mp.weixin.qq.com/s?__biz=MjM5MTg4NjM2MQ==&mid=2657974891&idx=1&sn=ff95a2eee6db31ccaed9853eef70e9e4&chksm=bd37671d8a40ee0b8abd0d83ec7450927973c8f9626c9b1e2a23af389b38ac2d61dd11783c2f&scene=27
57,...龙岩市连城县莒溪镇璧洲小学开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=DBH_0w1Y_HYx5jaqQIqmwta0nUvLW2PA3LdSuvVlTnDzgGKvrEjeml4My6RH8fBP5Z6tpY6M_2EmEVvq4lL_L_,https://fe.bnu.edu.cn/html/1/news/20241009/n8316.html
58,【乡村振兴青年行】北师大育云队赴云南省施甸县开展教育公益行动,http://www.baidu.com/link?url=DBH_0w1Y_HYx5jaqQIqmwta0nUvLW2PA3LdSuvVlTnDzgGKvrEjeml4My6RH8fBP-YO33ME6SwdYvez9cE0M3_,https://fe.bnu.edu.cn/html/1/news/20230905/n7546.html
59,北师大师生代表庄严告别优秀校友黄文秀同志,http://www.baidu.com/link?url=17FOXc2ihPZwYAA92G-F7dl-QIK7-IcTn1Vhc-WuDlGbUwFI72Gf4Ns8oKCxNj6WUV8QxeSOPZpUKcpu3cmrtq,https://dwxgb.bnu.edu.cn/xwzx/xwdt/75655.htm
60,BNU研支团丨北师大研支团新疆工作侧记:西部岁月中的无悔青春,http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX95O1y5O04ZwgoC6XvbhLY6Kfvq7lDZSeCB69KSdV9m6yGc99jWOOtLJRAj85jO39fVVU3lEbDiE0omIvQyAcDUYhv0HTxirZ_cntHmKH7pK48cZPVEDCcziqnMpTy7Lu1tzesCjP9YzrYvd4XCtYwdvxf6MnTFtouiHQD3CezsvDpKMGM62RTji4lly0lwkUAlZV-zWMqh6N7c6U5vG2XMT03gfukP6umITxKM1HA324a,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651925457&idx=1&sn=b852f3d61a2647fb51125b9f82eccbd5&chksm=8b6dd025bc1a5933e4989b2a8c296292d9e48227d11b30dc9a9140346a2fbf6637fef301001b&scene=27
61,外文青春支教行 | 北师大“E·dream乐育李岔”暑期实践队赴宁夏...,http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX9zJX200W-DyyeutuQS1l8SJgJmpkse3h2bOCQWk6NHcBJxQaJtrqjldMLWR4b2tCfUCNu_TSuKBznGWwfAso_fUeZLjGx-8Zg5MpZKd8n4JDafCKxLaNoYx5GWOQL6lMXXDdo8WQINqljEoCZm0rmSHQ5pznDoquavcAqCZfqTN5bCugXpWI_FMY1XMjuaTqC1Y5lBJ847Gg2v8-qLT-ijj2WnubiR5MRAotyXzS7Vbla,https://mp.weixin.qq.com/s?__biz=MzAxMjAwMzM0Nw==&mid=2650449522&idx=1&sn=63b64ca59b4be8d3dc0267db58834d45&chksm=83b6770eb4c1fe188b8d757ff2e92ae4ea9484f4250263833f801b7f0e9beec2702d3e4e15bb&scene=27
62,...赴湖南省湘西土家族苗族自治州龙山县皇仓中学 - 北京师范大学...,http://www.baidu.com/link?url=DBH_0w1Y_HYx5jaqQIqmwta0nUvLW2PA3LdSuvVlTnDzgGKvrEjeml4My6RH8fBPWVJnC9D9x3ZZwyOAvoqCca,https://fe.bnu.edu.cn/html/1/news/20241009/n8319.html
63,北京师范大学第二十二届研究生支教团成员简介_大学生志愿服务西部...,http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eZq-yVzfhRAclHIZEhoG86J0IaEJJTGwBl9VQTuf0W0_dJboBPlRPTr5jFkOcqF2MJyYeJjoj_0yfY4WWXOMIsW,https://xibu.youth.cn/jyjl/gxlz/zl_342/202009/t20200917_12498306_2.htm
64,"茧中蜕变,磨砺成蝶!他们是北京师范大学第25届“自强之星”",http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eQiKWQcqN_F7Borb8P8JEXQ2x6d8dc4jFUG_7-rYEnY3SO8QAC7OHJ0uufA3Y2A-_M62CwgdHe3YbC9T9gFUgb2TFEKiTurEkTjwZzWlBt2FeT1HaEfq26857DEIq-l0stBVv3Ixls8OS8eGa82_5tPx36AhJZ69uU496gyP9OeTEGb6hmCHoQiXzqZigpqyIqj26oqvVJ-5lDpircI7edCKjURxlGRVkKr_fz1o6P7Aa3V4p5R7uM9g0hZHhiBSkK,https://mp.weixin.qq.com/s?__biz=MjM5MTg4NjM2MQ==&mid=2658018512&idx=1&sn=3c47bc4fa1244e7bf862d05e8f048812&chksm=bc13c75d1d53a042e16595fe635bf1e4f9d08eeaa3043d547cc532f4b30f330da74fa3e7f053&scene=27
65,本期关注| 教师节前 北师大师生来到太行深处马兰村——“电影下乡...,http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eQiKWQcqN_F7Borb8P8JEXPJMzpd8SaEHrpAPtVndm26ZCbgyJIJ8E3J81SuW7c7zND-RH9B7poh11Nz7qmZxNH7GumUoXvWy1ZNTzanA_lGiku_PyS7Yy9SZ02n7PqnVUVBV7yvfczbkwoMlDJDqHPP0qhxm5TboV25QRhSwLddkZTNFkVIR_XFA_eOmu8qmZqmxV0jMji7-zZsyzg8wJJJGnC-wxd0TNuxdZaLHF9VM1wEo55WoUOE-f9jscR2Hq,https://mp.weixin.qq.com/s?__biz=MjM5OTQ5NjAwMg==&mid=2649400688&idx=1&sn=e3ec5c9777c4a5f441247a1be35cd199&chksm=bf24955d88531c4b3ed2f1db90892b05484f694928aa46c08a1b305fc7c7b0b765c9036fa263&scene=27
66,...彝族自治州大姚县金碧小学支教活动-党支部-北京师范大学实验小学,http://www.baidu.com/link?url=v5qQG5pAM6R3NQ-oJVx5g3Zz49mmruKRytkPKwPlCS496gzSoNh4emA6jktg7lNq1G7yW72ppV4Mg7p4dSWWax93xBjynR1sKtaS1XAMRXCLJdjOV-wMHhwgg1GrVi1h,http://www.eps.bnu.edu.cn/xwzx/dtgz/dzb/47f9d83f874d4a2aa483ded2cdadd562.htm
67,北师大“载梦黔行”暑期实践队到正安支教,http://www.baidu.com/link?url=46YquKVuweUZK5hCgtcHW6Y4e0ERvhmiYNn1UIPEN6q5Z3VdbVQ2PV3VL0b9o4BEorWaYFFpHbErh4zbOImJDV6WvEEMJ9qva__uOAtKEak6b6EJbqvGRu-LTJO4vsNv,https://www.zunyi.gov.cn/ztzl/lszt/cjwmcs/zyfw/201710/t20171025_68747406.html
68,北师大安利利:接受资助读书 支教贫困山区|新浪_新浪公益_新浪网,http://www.baidu.com/link?url=pUET8Gz-KJVpx6CQdCu8riM70mBNBh4qNOtfisMRuHaysNSt0KOZ1eow0eTS2-DMhdzyvh5YCpy1WApFidwsSN3IEdHH_-THpsSdDKfhzfS,https://gongyi.sina.com.cn/gyzx/2012-09-12/095437313.html
69,双向奔赴 山海情深||北师大“知行赣教”实践队石城中学暑期实践...,http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eQiKWQcqN_F7Borb8P8JEXRsahrljkrx2MbCWdFUnltoNY4ov27leBb5757Tv9HGU6kFGWfKzsxszYIsXgXDW5oRNLve0MT7_vB8qKHvvUwFze1KgskdklvOGMfKMqD3mQdmYG-LZoPZCKcWtNDyzPXhyT_T5cX79f_RXtMMSVLw3xIxCIHuGWv0bAhilsQLVpNMKkBGS5PqWbhM08HFN6umOSR986U7E5NeSMP2mSPEqJnuFTkH7ElJdgkSx_HUcq,https://mp.weixin.qq.com/s?__biz=MzUzNDE0MjU2OQ==&mid=2247512570&idx=1&sn=a2b0a5bea60179fca65c23b0045a88ee&chksm=fbb693f1c97352357522d404dc004da1be83099f5c6e471ef87d14dd0ba70e09d513410727eb&scene=27
70,【西部计划20年】北京师范大学研支团:微小星辰 辉光绵长,http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eQiKWQcqN_F7Borb8P8JEXRHFb1dyYOsBt063B0-guFEFGbmj14Gbv_pAV-5Eld3-QTuph3DFcMzHfCFADJaQFpqeCMuZyW0zPR9bD-rlJg27WkqosAU1Lkb3HPNeE0b2VQPy42MERaJBgn5jV0wGXrEXA4xbzw5Nk53paSvMFFHjPMdTS_Fq1ocoHIcO43BCp7P76-6KNKeApcAd3VQJuLzVxvFTQUE-Tj2ijrRnmLnlBToSNHSz8_eKxHSBCU1xa,https://mp.weixin.qq.com/s?__biz=MzA5NzQ1MTQwMw==&mid=2650929218&idx=8&sn=e4ba4c7b5a548ce7c64a49ae5ffe4647&chksm=8b55f4a6bc227db0f6247534f6a1e9b8441b674b51117b261d65dfc9dd84419912c0906ae4af&scene=27
71,北京师范大学第25届研究生支教团成员风采展示_大学生志愿服务西部...,http://www.baidu.com/link?url=46YquKVuweUZK5hCgtcHW55iSh7e2VygGBWuysnZLWNZ2AKPNb5c0nxGW070BhnUYY_2JO_WJgOVycLCcRNNVvb0cP6moV8PyU_Z7rheypu,https://xibu.youth.cn/gzdt/gddt/202308/t20230822_14735929.htm
72,培育大国良师 矢志师范报国——北京师范大学实施“优师计划”承担...,http://www.baidu.com/link?url=UMuQuTsiR_XM4Sm2URt8eNiEH0JgH-eMj_ei0x00BO7qGIhxDwyZ67t8Gh2OvsweK_7RdFu0VJrYfsCsfEYnzjHrnxEbBIRk0BAt0H13nIa,https://baijiahao.baidu.com/s?id=1710533290649806341&wfr=spider&for=pc
73,一片冰心在玉壶——北师大实验小学教师赴广西上林县支教活动纪实,http://www.baidu.com/link?url=y1EPqw5nZDhCxBhW7uh9MXFjduWJDP4nh2NbZ5aPr55n7MF4zhsh3jcBSp4iuWsHgCOCEQYsLnia8ZVV21QA5XXWuMHRjidjpvKdcPllDpfNPR-mOtDJkurUb-YZtAFw,http://www.eps.bnu.edu.cn/xwzx/dtgz/dzb/511e890d862a40b799594ad0a77c3c64.htm
74,实践风采丨“我和我的暑期实践故事”快讯(九),http://www.baidu.com/link?url=9JHj-qlsYbz5mx8PU9Plz8KXAwp3u5F8XXLqY9RbDyeuzX_9X-F0ajXdaZFMv2_gVmCRwPpFFojP3f-M3B5gMIGC95PFR25oK0e9PNg25OyKlqX3XzpV8CO6ALgt1rdZgx656rREC0ovitEH6K6J137kO5m6tKPutAZ4i7oon_u1u1Wk0d7X9qh_0d45GpvtK7kr1I-HD0k0AK7lkz8Eg-l7n3fHhOuFO2MWoE6hMb4AHOlQNPZSd46YzrmO-Sqk151JDCIRrK9mN1sqnDNDJa,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651940297&idx=2&sn=66f24e8a72322de540746bc655b24df3&chksm=8b6d9e3dbc1a172b556fe47be2be0e509c18222fe508b4d19e4076f6e65208f4c66ca0aee50f&scene=27
75,初心不渝 马兰花开丨北京师范大学赴河北阜平开展暑期社会实践和...,http://www.baidu.com/link?url=9JHj-qlsYbz5mx8PU9Plz8KXAwp3u5F8XXLqY9RbDyeuzX_9X-F0ajXdaZFMv2_gVmCRwPpFFojP3f-M3B5gMCXfaM-9_74Tq5KgMFZzbhXVDhBHVw3VesHZyMVv3Cv5sBKAC5jpbpeB2h3nHx47ii-nO9HVGafHpRX9oVCY-XXRbO8Ed1sRmtEduYPuPZSzxKKM7Jit3to_QvwnRvakXJ5z0WWpIMeOgpaTsIzdUOxfNw_fJcJDWS-hEtPn0bXo4ztTl-Gpyait-sZJb4iYuK,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651939752&idx=1&sn=d76ea6465f646192bfe026346237f0e6&chksm=8b6d985cbc1a114a6a9ad7476d788b09bd9be81be0a3dc0cfc47bcb3dcc3e70cd81263af1518&scene=27
76,经管人物 - 北京师范大学经济与工商管理学院,http://www.baidu.com/link?url=ia_51-IFlOiUHX3HlmUP_Vg5Z6DYGRQT_nD9kJACSu9yxFUSPma6pO589UGIEVG4xjUmnnH4ay0f6rjXmy09rFWVY9l0BO6pOCVycAyn33z-had9-ypOnhhKh08xC_YM1gHcjCyb8TCpgS4rUKBJDK,https://bs.bnu.edu.cn/ssfc/jgrw_20200903103607846601/8951e4470b8041e891ff2ab1b2c44dd3.html
77,扎根泥土 绽放芳华——四名初登讲台的公费师范生的故事,http://www.baidu.com/link?url=u0Ofzs20nVUKyf5LUvB_g42H60OVJrwAB3rPi4_hZZmRknnMJnntbwgpa3CM5NPodgOtWF-szj8udkbgz7VYNJL0yxKIcANvJN2HE-0JCR3,https://news.bnu.edu.cn/zx/bsrw/f294b2387c154ea2ae28db7db4ec48ed.htm
78,木铎金声百年悠扬 学人躬耕情满于山——记北京师范大学援疆干部...,http://www.baidu.com/link?url=9JHj-qlsYbz5mx8PU9Plz8KXAwp3u5F8XXLqY9RbDyfqYN1gVNXOLOTf77R-j_2NumsB7TxiwqN1xWwN2S90LdSoVtmsS8TDvB0p0_w9ZJLLDDPaia4OcE7Gc2sTXUuofVmCrDJvWVO_ggqr-9g5kMDaGQ1rVrKyrs7kGmvtQjRYApYwtfU956P4f9RTLEe__CmFemIHWVY832GTTN-N3eflhhA9X_BVDkZxH81Nnzh2K3F4IhF2Gtzjpl5xubagU0ZQYP6uXND3DUENSDIitq,https://mp.weixin.qq.com/s?__biz=MzA3NzkwODgxOA==&mid=2650218618&idx=2&sn=c609c3e509982f4e82573f34db2bebb4&chksm=87495e47b03ed751c6f0504a7ca4505b81ed0b0a94dc8c3d58c25a1195faee001bcad768f39a&scene=27
79,实践风采丨“我和我的暑期实践故事”快讯(二),http://www.baidu.com/link?url=9JHj-qlsYbz5mx8PU9Plz8KXAwp3u5F8XXLqY9RbDyeuzX_9X-F0ajXdaZFMv2_gVmCRwPpFFojP3f-M3B5gM0k88YNKmy6TUZFmDeQx5EbFR1QpZh4vUgoYLrodtQnNXSxe9cffYN_Xvehlgr1lEh7SZXkDTZsuLW7z8_h5drPmWE636o8-unbwYuNeKlXcNGUaf6cOlhoWgCLHjhKFBOtc1qh_N6QNae-lVZ6lKJSqMMLWToBuhyq3QeZwh-reaMbo4aIZSy8lQ6JnDHpjFa,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651936421&idx=1&sn=bc2a3db95b1f812db9062b09499fe403&chksm=8b6dad51bc1a24477f3eefd5879e9253a21579299629431946a1330325d9a737fb074f1bf565&scene=27
80,"北京师范大学“优师计划”师范生牢记嘱托,争当“四有”好老师...",http://www.baidu.com/link?url=9JHj-qlsYbz5mx8PU9Plz6un3cZpA_f3BrWExPNexAx1Wdhh-sYzp6dw41mpdjAwB1xbuPTX7EtX4Krb4JnKBi9VBONxV036oFcSdzsvhCm,https://baijiahao.baidu.com/s?id=1773626225627983682&wfr=spider&for=pc
81,"逐光支教传薪火,向阳笃行齐奋楫——北京师范大学“初心如磐,奋楫...",http://www.baidu.com/link?url=S1Xt757qPWRfRZ01f8_F7fCLp9b5NxaWFvXSHzVZScJFN2pX7dqF0tEyNx99ODo6KdDqMlZ4idMhifxBNToBWccoROYQF7DWF5R_LkfwkOhl0-QVcSTKC6IMQ-cr-vA5kaROfJqno2Q0M4gOnXBtkLuTHCyoPMMIPZ_oOduBcDQyHpmR6GuZNtj6FnMAUpGlIihIZkRPayoDbVjyX-UAYHpScR4Z7Lc4yuHKCLmxc2pfiiZIr6-yvQWzA7268jclZzZzJ1GBjxsFSYOjKswnSa,https://mp.weixin.qq.com/s?__biz=MzI5NTUxNTk2Nw==&mid=2247512258&idx=1&sn=91f92524bcb7854917e2b80e44294d29&chksm=ed7600fb1d483ae683a053329af985bdf27c45f7fce3a0b0d5ffae9177fd0cd6130cc47b38f9&scene=27
82,外文青春支教行 | 北师大铎声振川支教队赴四川仪陇开展实践活动,http://www.baidu.com/link?url=S1Xt757qPWRfRZ01f8_F7fCLp9b5NxaWFvXSHzVZScIV0yS7LcMy1AY0lXsyL8HVrt4qKUDi9hftp-QLPhic_-CSKWV60VwymKCwwqYw9n77vuOIdoZ1XC4qqcuoyE21zeQY5AwmJNvQqskr4ctInbE6s7DZVr3iDM9hlNv15sJkgnRF2ZJZF3SXmm4RnRiw_WEKoO7LNHt6TPk6ZHFJf6KeC150dP6_s6yR7OGGPo9JZKH4-BO94rV4qKscxOWF4_fpUVLagNSOOwP0osvHba,https://mp.weixin.qq.com/s?__biz=MzAxMjAwMzM0Nw==&mid=2650449479&idx=1&sn=e51deac2f6a91f08f1e9443f785711a4&chksm=83b6773bb4c1fe2da300242a6baa244743d07d947533cf78d9f914bc2ddddf90f05a7b5c8b1f&scene=27
83,...随北师大教师志愿服务团赴红河支教-党支部-北京师范大学实验小学,http://www.baidu.com/link?url=_4jMFK_JhQto6xsaZM6cfCp5FddHDdBqo7zj8Wz5FBuMxJU8W29wHsV-OenGwbCjK53OFkFBlwxbT-SFmDbv2aNu_F41CdIj4kXtUwJFpSjnH6uL2r2h14jKntQc15X-,http://www.eps.bnu.edu.cn/xwzx/dtgz/dzb/ad0877976d594f99bed5fb3c9ec4d085.htm
84,"关爱留守儿童,北京三所高校百余志愿者暑期支教江西乡村学校",http://www.baidu.com/link?url=S1Xt757qPWRfRZ01f8_F7fmN5q9ral4BcuGVMk74kF5OnXUG_tgmXrLW2VOz9m1TCieExfZBqb-rp-3Bhc6JZL60ZkM83VW8NHAf0gySKji,https://baijiahao.baidu.com/s?id=1773843863967889650&wfr=spider&for=pc
85,社会实践那些事儿 (四) | 暑期实践:支教活动,http://www.baidu.com/link?url=S1Xt757qPWRfRZ01f8_F7fCLp9b5NxaWFvXSHzVZScIV0yS7LcMy1AY0lXsyL8HVrt4qKUDi9hftp-QLPhic_q1xxMsgSlVe2Oos5rcgLGXXVNR86Rzy8faQttIeaaY9JYsBjAv8Rc0OUp9tpzIpHgwI8g4sUuEus0UcCMBJzqrcyJbIwbsCJ17sAqF293rBgQNV3MDSCdenQdSK4mb4yG4SQfb5Rb27YzceOKgV5nGwAO1EAGe-F8m-QzrilTdu9xb2tKtAmW1Uie3rBFaTvq,https://mp.weixin.qq.com/s?__biz=MzAxMjAwMzM0Nw==&mid=2650427842&idx=7&sn=c1d68a2d1e4b15fc6f847e20ae031186&chksm=83b680beb4c109a856f4cedd543e3324bd8f755668cf3026ea1432686324eb4c02590806e794&scene=27
86,学子风采丨以热爱点亮青春——走近北京师范大学十佳大学生,http://www.baidu.com/link?url=S1Xt757qPWRfRZ01f8_F7fCLp9b5NxaWFvXSHzVZScICT7_x0mKYRJb7yrYpKMS8l_KBA1ZbvThMV2W5_vbLpcrXfv4moJUOzdcX4GGaDprg15kKPodgWpi0yupmpJ2tUahnN12wNQjNnRkxufvkKH80o4_mX7m7LXcG3JkPeGDoSl35iwKVaNHxSfatZ2UdUbxeWLQTiju-kXBvbpnjYeAC8Ka3M8Bh1ZQAyEHhOUfP992GDP4xZPV1XQYJJzDt5jkNzK5QUh629wgRgSdbt_,https://mp.weixin.qq.com/s?__biz=MzAwNjUzNDA5OA==&mid=2649374019&idx=1&sn=42d890f3c8c49bd39927a7f87f4aa4fb&chksm=83157bfeb462f2e8f9f7b2961d1538f50569c008e9ccc685cf1cbbdde1f995be2f7daf35c12b&scene=27
87,北师大学生支教新疆库尔勒 政治课上讲炒房团,http://www.baidu.com/link?url=Jrx-SAB9yilnRncgpdWPSTmSMZV6c6rOompDpt99RG7r7yXPGZgW__dgHhG9DsVQrwJh4GfFQvdMbfYjgdr3PoP2U3_mugNnABNPeofsJcm,https://www.chinanews.com.cn/edu/xyztc/news/2008/11-05/1438758.shtml
